model,mse,rmse,r2,ic,fold
LinearRegression,8.420017597899853e-05,0.009176065386591277,-0.5042353856146884,0.002001148849228444,1
Ridge,7.930729641723348e-05,0.008905464413338221,-0.41682413630573656,0.0038839017001896336,1
XGBoost,5.6639160006676275e-05,0.0075258992822569894,-0.01185808346511319,0.0674075540130306,1
LightGBM,5.613478024835372e-05,0.007492314745681319,-0.002847343624785559,0.09146221301490398,1
CatBoost,5.543610016924776e-05,0.007445542301890962,0.009634569696599815,0.11645714585887461,1
LinearRegression,0.00019181719818916966,0.013849808597564432,-0.16502936111741295,0.09424169690913634,2
Ridge,0.00018874436165790994,0.013738426462223027,-0.14636604617679327,0.09718392014385617,2
XGBoost,0.00018185856232546418,0.01348549451542153,-0.10454415287007013,0.06533107852270725,2
LightGBM,0.00018584131373977316,0.013632362735042416,-0.1287339668153551,0.12251517385808268,2
CatBoost,0.00016676160089399068,0.012913620750741856,-0.012850584736632253,0.1060803992210601,2
LinearRegression,0.00020337487865999118,0.014260956442679123,-0.5155822962406182,0.018536011684704097,3
Ridge,0.00019727986134075446,0.014045634956838172,-0.4701612471652372,0.0201520895840142,3
XGBoost,0.0001531015465401004,0.012373420971586653,-0.14093734187870854,0.060930151236542766,3
LightGBM,0.0001409729594746115,0.011873203420922742,-0.0505531609219283,0.15917352140609786,3
CatBoost,0.00013701599564364434,0.011705383190807737,-0.021065230216855912,0.09371829183526419,3
LinearRegression,9.941663394353236e-05,0.009970789033147395,-0.2644074347267158,0.08306466897097495,4
Ridge,9.51006691933791e-05,0.009751957198089987,-0.209515836594236,0.08511192694285567,4
XGBoost,7.960805806155748e-05,0.00892233478757424,-0.012476649876935975,0.150957940370108,4
LightGBM,7.967889463503162e-05,0.008926303525818042,-0.013377568431492293,0.16372585392086095,4
CatBoost,7.890820917717745e-05,0.008883029279315556,-0.003575783920260145,0.10948738673067177,4
LinearRegression,0.0001534844945271409,0.012388885927602244,-0.24810282978919096,0.06904886951029937,5
Ridge,0.0001503948608919101,0.012263558247585,-0.22297859495997496,0.07645316853834427,5
XGBoost,0.0001375152000149872,0.011726687512464345,-0.11824396859437813,0.11947825521519714,5
LightGBM,0.00013971411609878424,0.011820072592788262,-0.13612508026700199,0.12684852658479012,5
CatBoost,0.00012368453970108183,0.011121355119817091,-0.005776019771144503,0.12347149051732297,5
