model,mse,rmse,r2,ic,fold
LinearRegression,7.473030456065866e-05,0.008644669141190926,-0.3350562180053356,-0.0026496427882388316,1
Ridge,7.377010389878729e-05,0.008588952433142664,-0.3179022418279247,-0.0020636943801104254,1
XGBoost,0.00018711433964137795,0.013678974363649416,-2.3427959926673974,0.028743951656678812,1
LightGBM,7.928945475236316e-05,0.008904462631308145,-0.41650539512349805,0.03331824200628615,1
CatBoost,6.316958181346293e-05,0.007947929404156968,-0.1285240102347729,0.02896346509432004,1
LinearRegression,0.0001832938258486749,0.013538605018563578,-0.11326143245327147,0.06427310824693715,2
Ridge,0.00018166964292380946,0.013478488154233376,-0.10339672369327957,0.06625603352726299,2
XGBoost,0.00022280788669791507,0.014926750707971078,-0.35325576821113813,0.052763801364256374,2
LightGBM,0.0001844915119971375,0.013582765255909325,-0.12053575165684194,0.041418666602871725,2
CatBoost,0.00016779011336191013,0.012953382313585518,-0.01909740324255038,0.10177275602380095,2
LinearRegression,0.000180345200977374,0.013429266583748123,-0.3439614352283058,0.006980793371271755,3
Ridge,0.00017671050797918517,0.013293250467029694,-0.3168751185867391,0.009365851770662525,3
XGBoost,0.00018755060353853198,0.01369491159294327,-0.39765725366434235,-0.03582794254943686,3
LightGBM,0.00016288309301923715,0.012762566082854856,-0.21383099900741875,0.04343619313518808,3
CatBoost,0.0001385903859535322,0.011772441800813126,-0.03279783995096186,0.023701989582353318,3
LinearRegression,9.690199558624716e-05,0.009843881124142407,-0.23242558914938205,0.026593416980029268,4
Ridge,9.481397317864101e-05,0.009737246693939772,-0.20586955972725574,0.02786114159428006,4
XGBoost,0.00012981475112994092,0.011393627654524301,-0.6510188482052686,0.020105753473111287,4
LightGBM,7.996218208186504e-05,0.008942157574202383,-0.016980494216974007,0.0929297299983387,4
CatBoost,7.973563850151533e-05,0.008929481423997439,-0.014099252155947317,0.030841695446686947,4
LinearRegression,0.0002797044088573219,0.0167243657236178,-1.2744959696082163,0.019925273210461846,5
Ridge,0.0002383610620981747,0.015438946275512934,-0.938300784276823,0.025001305809754234,5
XGBoost,0.00015151186309194238,0.012309015520826284,-0.23206181610903065,-0.009335742411465524,5
LightGBM,0.00014233634890066624,0.011930479826925078,-0.1574485122558682,0.023528271107843165,5
CatBoost,0.0001268342747378343,0.011262072399777685,-0.03138898624419606,0.04349690167498116,5
