feature,total_nan,nan_pct,pattern,leading_nan,trailing_nan,middle_nan,first_valid_row,last_valid_row,valid_rows
E7,6969,77.5194660734149,Leading only,6969,0,0,6969,8989,2021
V10,6049,67.28587319243604,Leading only,6049,0,0,6049,8989,2941
S3,5733,63.770856507230256,Leading only,5733,0,0,5733,8989,3257
M1,5547,61.701890989988875,Leading only,5547,0,0,5547,8989,3443
M13,5540,61.62402669632926,Leading only,5540,0,0,5540,8989,3450
M14,5540,61.62402669632926,Leading only,5540,0,0,5540,8989,3450
M6,5043,56.0956618464961,Leading only,5043,0,0,5043,8989,3947
V9,4539,50.48943270300333,Leading only,4539,0,0,4539,8989,4451
S12,3537,39.34371523915461,Leading only,3537,0,0,3537,8989,5453
M5,3283,36.518353726362626,Leading only,3283,0,0,3283,8989,5707
M2,3217,35.78420467185762,Leading only,3217,0,0,3217,8989,5773
S8,3009,33.47052280311457,Leading only,3009,0,0,3009,8989,5981
M3,2018,22.447163515016687,Leading only,2018,0,0,2018,8989,6972
E1,1784,19.844271412680754,Leading only,1784,0,0,1784,8989,7206
P6,1638,18.220244716351502,Leading only,1638,0,0,1638,8989,7352
E20,1616,17.975528364849833,Leading only,1616,0,0,1616,8989,7374
P7,1616,17.975528364849833,Leading only,1616,0,0,1616,8989,7374
P5,1574,17.508342602892103,Leading only,1574,0,0,1574,8989,7416
V5,1512,16.81868743047831,Leading only,1512,0,0,1512,8989,7478
S5,1511,16.80756395995551,Leading only,1511,0,0,1511,8989,7479
V7,1511,16.80756395995551,Leading only,1511,0,0,1511,8989,7479
V13,1511,16.80756395995551,Leading only,1511,0,0,1511,8989,7479
E15,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E19,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E18,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E17,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E14,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E11,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E10,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E12,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P2,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P13,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P12,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P11,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P10,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P1,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M9,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M8,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M7,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I1,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E8,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E9,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E4,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E5,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E3,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E6,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E2,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E13,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
E16,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M12,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M16,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M15,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M11,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I2,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I9,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I8,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I7,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M10,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I6,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I3,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I4,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
I5,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
S6,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
S4,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
S11,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
S2,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
S10,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P8,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
V1,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
S7,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
V12,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M4,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M18,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
M17,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
S1,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P9,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P3,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
P4,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
V4,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
V11,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
S9,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
V2,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
V6,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
V3,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
V8,1006,11.190211345939934,Leading only,1006,0,0,1006,8989,7984
D6,0,0.0,No NaN,0,0,0,0,8989,8990
D8,0,0.0,No NaN,0,0,0,0,8989,8990
D5,0,0.0,No NaN,0,0,0,0,8989,8990
D4,0,0.0,No NaN,0,0,0,0,8989,8990
D3,0,0.0,No NaN,0,0,0,0,8989,8990
D2,0,0.0,No NaN,0,0,0,0,8989,8990
D9,0,0.0,No NaN,0,0,0,0,8989,8990
D7,0,0.0,No NaN,0,0,0,0,8989,8990
D1,0,0.0,No NaN,0,0,0,0,8989,8990
